time(s)	accl(g)
0.000	0.000000000000
0.001	0.000119818224
0.002	0.000239636448
0.003	0.000359454672
0.004	0.000479272896
0.005	0.000599091120
0.006	0.000718909344
0.007	0.000718988232
0.008	0.000719067120
0.009	0.000719146008
0.010	0.000719224896
0.011	0.000719303784
0.012	0.000719382672
0.013	0.000719452752
0.014	0.000719522832
0.015	0.000719592912
0.016	0.000719662992
0.017	0.000719733072
0.018	0.000719803152
0.019	0.000719868120
0.020	0.000719933088
0.021	0.000719998056
0.022	0.000720063024
0.023	0.000720127992
0.024	0.000720192960
0.025	0.000720251640
0.026	0.000720310320
0.027	0.000720369000
0.028	0.000720427680
0.029	0.000720486360
0.030	0.000720545040
0.031	0.000720599040
0.032	0.000720653040
0.033	0.000720707040
0.034	0.000720761040
0.035	0.000720815040
0.036	0.000720869040
0.037	0.000720917640
0.038	0.000720966240
0.039	0.000721014840
0.040	0.000721063440
0.041	0.000721112040
0.042	0.000721160640
0.043	0.000721203120
0.044	0.000721245600
0.045	0.000721288080
0.046	0.000721330560
0.047	0.000721373040
0.048	0.000721415520
0.049	0.000721451880
0.050	0.000721488240
0.051	0.000721524600
0.052	0.000721560960
0.053	0.000721597320
0.054	0.000721633680
0.055	0.000721665840
0.056	0.000721698000
0.057	0.000721730160
0.058	0.000721762320
0.059	0.000721794480
0.060	0.000721826640
0.061	0.000721853040
0.062	0.000721879440
0.063	0.000721905840
0.064	0.000721932240
0.065	0.000721958640
0.066	0.000721985040
0.067	0.000722005200
0.068	0.000722025360
0.069	0.000722045520
0.070	0.000722065680
0.071	0.000722085840
0.072	0.000722106000
0.073	0.000722121360
0.074	0.000722136720
0.075	0.000722152080
0.076	0.000722167440
0.077	0.000722182800
0.078	0.000722198160
0.079	0.000722208600
0.080	0.000722219040
0.081	0.000722229480
0.082	0.000722239920
0.083	0.000722250360
0.084	0.000722260800
0.085	0.000722267400
0.086	0.000722274000
0.087	0.000722280600
0.088	0.000722287200
0.089	0.000722293800
0.090	0.000722300400
0.091	0.000722306160
0.092	0.000722311920
0.093	0.000722317680
0.094	0.000722323440
0.095	0.000722329200
0.096	0.000722334960
0.097	0.000722340360
0.098	0.000722345760
0.099	0.000722351160
0.100	0.000722356560
0.101	0.000722361960
0.102	0.000722367360
0.103	0.000722370720
0.104	0.000722374080
0.105	0.000722377440
0.106	0.000722380800
0.107	0.000722384160
0.108	0.000722387520
0.109	0.000722389680
0.110	0.000722391840
0.111	0.000722394000
0.112	0.000722396160
0.113	0.000722398320
0.114	0.000722400480
0.115	0.000722397720
0.116	0.000722394960
0.117	0.000722392200
0.118	0.000722389440
0.119	0.000722386680
0.120	0.000722383920
0.121	0.000722370000
0.122	0.000722356080
0.123	0.000722342160
0.124	0.000722328240
0.125	0.000722314320
0.126	0.000722300400
0.127	0.000722273880
0.128	0.000722247360
0.129	0.000722220840
0.130	0.000722194320
0.131	0.000722167800
0.132	0.000722141280
0.133	0.000722100000
0.134	0.000722058720
0.135	0.000722017440
0.136	0.000721976160
0.137	0.000721934880
0.138	0.000721893600
0.139	0.000721833000
0.140	0.000721772400
0.141	0.000721711800
0.142	0.000721651200
0.143	0.000721590600
0.144	0.000721530000
0.145	0.000721460520
0.146	0.000721391040
0.147	0.000721321560
0.148	0.000721252080
0.149	0.000721182600
0.150	0.000721113120
0.151	0.000721051680
0.152	0.000720990240
0.153	0.000720928800
0.154	0.000720867360
0.155	0.000720805920
0.156	0.000720744480
0.157	0.000720713400
0.158	0.000720682320
0.159	0.000720651240
0.160	0.000720620160
0.161	0.000720589080
0.162	0.000720558000
0.163	0.000720581160
0.164	0.000720604320
0.165	0.000720627480
0.166	0.000720650640
0.167	0.000720673800
0.168	0.000720696960
0.169	0.000720789120
0.170	0.000720881280
0.171	0.000720973440
0.172	0.000721065600
0.173	0.000721157760
0.174	0.000721249920
0.175	0.000721416720
0.176	0.000721583520
0.177	0.000721750320
0.178	0.000721917120
0.179	0.000722083920
0.180	0.000722250720
0.181	0.000722471880
0.182	0.000722693040
0.183	0.000722914200
0.184	0.000723135360
0.185	0.000723356520
0.186	0.000723577680
0.187	0.000723801840
0.188	0.000724026000
0.189	0.000724250160
0.190	0.000724474320
0.191	0.000724698480
0.192	0.000724922640
0.193	0.000725095200
0.194	0.000725267760
0.195	0.000725440320
0.196	0.000725612880
0.197	0.000725785440
0.198	0.000725958000
0.199	0.000726031080
0.200	0.000726104160
0.201	0.000726177240
0.202	0.000726250320
0.203	0.000726323400
0.204	0.000726396480
0.205	0.000726346440
0.206	0.000726296400
0.207	0.000726246360
0.208	0.000726196320
0.209	0.000726146280
0.210	0.000726096240
0.211	0.000725927880
0.212	0.000725759520
0.213	0.000725591160
0.214	0.000725422800
0.215	0.000725254440
0.216	0.000725086080
0.217	0.000724817520
0.218	0.000724548960
0.219	0.000724280400
0.220	0.000724011840
0.221	0.000723743280
0.222	0.000723474720
0.223	0.000723131040
0.224	0.000722787360
0.225	0.000722443680
0.226	0.000722100000
0.227	0.000721756320
0.228	0.000721412640
0.229	0.000721015236
0.230	0.000720617832
0.231	0.000720220428
0.232	0.000719823024
0.233	0.000719425620
0.234	0.000719028216
0.235	0.000718583844
0.236	0.000718139472
0.237	0.000717695100
0.238	0.000717250728
0.239	0.000716806356
0.240	0.000716361984
0.241	0.000715860480
0.242	0.000715358976
0.243	0.000714857472
0.244	0.000714355968
0.245	0.000713854464
0.246	0.000713352960
0.247	0.000712814868
0.248	0.000712276776
0.249	0.000711738684
0.250	0.000711200592
0.251	0.000710662500
0.252	0.000710124408
0.253	0.000709659312
0.254	0.000709194216
0.255	0.000708729120
0.256	0.000708264024
0.257	0.000707798928
0.258	0.000707333832
0.259	0.000707131824
0.260	0.000706929816
0.261	0.000706727808
0.262	0.000706525800
