0.001	0
0.002	0
0.003	0
0.004	0
0.005	0
0.006	0
0.007	0
0.008	0
0.009	0
0.01	0
0.011	0
0.012	0
0.013	-0.000312
0.014	-0.000624
0.015	-0.000936
0.016	-0.001248
0.017	-0.00156
0.018	-0.001872
0.019	-0.002184
0.02	-0.002496
0.021	-0.002808
0.022	-0.00312
0.023	-0.003432
0.024	-0.003744
0.025	-0.003733
0.026	-0.003722
0.027	-0.003712
0.028	-0.003701
0.029	-0.00369
0.03	-0.003679
0.031	-0.003668
0.032	-0.003657
0.033	-0.003646
0.034	-0.003635
0.035	-0.003624
0.036	-0.003613
0.037	-0.003589
0.038	-0.003565
0.039	-0.003541
0.04	-0.003516
0.041	-0.003492
0.042	-0.003468
0.043	-0.003444
0.044	-0.003419
0.045	-0.003395
0.046	-0.003371
0.047	-0.003347
0.048	-0.003323
0.049	-0.003631
0.05	-0.003939
0.051	-0.004247
0.052	-0.004555
0.053	-0.004863
0.054	-0.005171
0.055	-0.005479
0.056	-0.005787
0.057	-0.006095
0.058	-0.006403
0.059	-0.006711
0.06	-0.007019
0.061	-0.006901
0.062	-0.006782
0.063	-0.006663
0.064	-0.006544
0.065	-0.006426
0.066	-0.006307
0.067	-0.006188
0.068	-0.00607
0.069	-0.005951
0.07	-0.005832
0.071	-0.005714
0.072	-0.005595
0.073	-0.005691
0.074	-0.005786
0.075	-0.005882
0.076	-0.005978
0.077	-0.006073
0.078	-0.006169
0.079	-0.006265
0.08	-0.00636
0.081	-0.006456
0.082	-0.006551
0.083	-0.006647
0.084	-0.006743
0.085	-0.007148
0.086	-0.007553
0.087	-0.007958
0.088	-0.008363
0.089	-0.008768
0.09	-0.009173
0.091	-0.009578
0.092	-0.009983
0.093	-0.010388
0.094	-0.010793
0.095	-0.011198
0.096	-0.011603
0.097	-0.012154
0.098	-0.012705
0.099	-0.013255
0.1	-0.013806
0.101	-0.014357
0.102	-0.014908
0.103	-0.015459
0.104	-0.01601
0.105	-0.016561
0.106	-0.017112
0.107	-0.017663
0.108	-0.018214
0.109	-0.018398
0.11	-0.018583
0.111	-0.018767
0.112	-0.018952
0.113	-0.019136
0.114	-0.019321
0.115	-0.019505
0.116	-0.01969
0.117	-0.019874
0.118	-0.020059
0.119	-0.020243
0.12	-0.020428
0.121	-0.019037
0.122	-0.017646
0.123	-0.016255
0.124	-0.014864
0.125	-0.013473
0.126	-0.012082
0.127	-0.010691
0.128	-0.0093
0.129	-0.007909
0.13	-0.006518
0.131	-0.005127
0.132	-0.003736
0.133	-0.002969
0.134	-0.002203
0.135	-0.001436
0.136	-0.000669
0.137	0.000097
0.138	0.000864
0.139	0.00163
0.14	0.002397
0.141	0.003164
0.142	0.00393
0.143	0.004697
0.144	0.005464
0.145	0.004942
0.146	0.004421
0.147	0.0039
0.148	0.003379
0.149	0.002858
0.15	0.002336
0.151	0.001815
0.152	0.001294
0.153	0.000773
0.154	0.000252
0.155	-0.000269
0.156	-0.000791
0.157	-0.001253
0.158	-0.001716
0.159	-0.002179
0.16	-0.002642
0.161	-0.003105
0.162	-0.003568
0.163	-0.004031
0.164	-0.004493
0.165	-0.004956
0.166	-0.005419
0.167	-0.005882
0.168	-0.006345
0.169	-0.006234
0.17	-0.006123
0.171	-0.006012
0.172	-0.005901
0.173	-0.00579
0.174	-0.005679
0.175	-0.005568
0.176	-0.005457
0.177	-0.005347
0.178	-0.005236
0.179	-0.005125
0.18	-0.005014
0.181	-0.004409
0.182	-0.003804
0.183	-0.003199
0.184	-0.002594
0.185	-0.001989
0.186	-0.001384
0.187	-0.000779
0.188	-0.000174
0.189	0.000431
0.19	0.001036
0.191	0.001641
0.192	0.002246
0.193	0.003283
0.194	0.004321
0.195	0.005358
0.196	0.006396
0.197	0.007433
0.198	0.008471
0.199	0.009509
0.2	0.010546
0.201	0.011584
0.202	0.012621
0.203	0.013659
0.204	0.014696
0.205	0.015387
0.206	0.016078
0.207	0.016768
0.208	0.017459
0.209	0.01815
0.21	0.01884
0.211	0.019531
0.212	0.020222
0.213	0.020912
0.214	0.021603
0.215	0.022294
0.216	0.022984
0.217	0.023475
0.218	0.023965
0.219	0.024455
0.22	0.024946
0.221	0.025436
0.222	0.025926
0.223	0.026416
0.224	0.026907
0.225	0.027397
0.226	0.027887
0.227	0.028378
0.228	0.028868
0.229	0.029086
0.23	0.029304
0.231	0.029522
0.232	0.02974
0.233	0.029958
0.234	0.030176
0.235	0.030394
0.236	0.030612
0.237	0.03083
0.238	0.031048
0.239	0.031265
0.24	0.031483
0.241	0.031704
0.242	0.031924
0.243	0.032145
0.244	0.032365
0.245	0.032586
0.246	0.032806
0.247	0.033026
0.248	0.033247
0.249	0.033467
0.25	0.033688
0.251	0.033908
0.252	0.034129
0.253	0.034688
0.254	0.035247
0.255	0.035806
0.256	0.036365
0.257	0.036925
0.258	0.037484
0.259	0.038043
0.26	0.038602
0.261	0.039161
0.262	0.039721
0.263	0.04028
0.264	0.040839
0.265	0.041322
0.266	0.041806
0.267	0.042289
0.268	0.042772
0.269	0.043256
0.27	0.043739
0.271	0.044222
0.272	0.044706
0.273	0.045189
0.274	0.045672
0.275	0.046156
0.276	0.046639
0.277	0.046847
0.278	0.047056
0.279	0.047264
0.28	0.047473
0.281	0.047682
0.282	0.04789
0.283	0.048099
0.284	0.048307
0.285	0.048516
0.286	0.048724
0.287	0.048933
0.288	0.049142
0.289	0.048815
0.29	0.048488
0.291	0.048162
0.292	0.047835
0.293	0.047508
0.294	0.047182
0.295	0.046855
0.296	0.046529
0.297	0.046202
