%	VERSION NUMBER:	1
%	FILE DATE:	Fri Jul 29 11:09:15 2022	
%	FILE NAME:	
%	
%	FILE TYPE:	TIME HISTORY
%	SAMPLE INTERVAL TYPE:	FIXED
%	SAMPLE INTERVAL UNIT TYPE:	Time
%	SAMPLE INTERVAL UNIT NAME:	sec
%	SAMPLE INTERVAL SIZE:	0.001
%       DISPLACEMENT UNIT:  mm


0.260	35.6274785
0.261	35.59063435
0.262	35.54894686
0.263	35.50240131
0.264	35.45098396
0.265	35.39468203
0.266	35.33348375
0.267	35.26737834
0.268	35.19635601
0.269	35.120408
0.270	35.03952654
0.271	34.9537049
0.272	34.86293736
0.273	34.76721923
0.274	34.66654686
0.275	34.56091764
0.276	34.45033001
0.277	34.33478344
0.278	34.21427847
0.279	34.08881669
0.280	33.95840074
0.281	33.82303433
0.282	33.68272225
0.283	33.53747034
0.284	33.38728551
0.285	33.23217576
0.286	33.07215016
0.287	32.90721884
0.288	32.73739303
0.289	32.56268503
0.290	32.38310824
0.291	32.19867712
0.292	32.00940721
0.293	31.81531516
0.294	31.61641869
0.295	31.41273659
0.296	31.20428874
0.297	30.99109612
0.298	30.77318077
0.299	30.55056582
0.300	30.32327547
0.301	30.091335
0.302	29.85477078
0.303	29.61361022
0.304	29.36788183
0.305	29.11761516
0.306	28.86284086
0.307	28.6035906
0.308	28.33989712
0.309	28.07179423
0.310	27.79931677
0.311	27.52250063
0.312	27.24138274
0.313	26.95600105
0.314	26.66639455
0.315	26.37260326
0.316	26.07466821
0.317	25.77263144
0.318	25.466536
0.319	25.15642592
0.320	24.84234624
0.321	24.52434298
0.322	24.20246314
0.323	23.87675468
0.324	23.54726651
0.325	23.21404852
0.326	22.87715153
0.327	22.53662728
0.328	22.19252847
0.329	21.84490868
0.330	21.49382241
0.331	21.13932508
0.332	20.78147296
0.333	20.42032321
0.334	20.05593387
0.335	19.68836381
0.336	19.31767277
0.337	18.9439213
0.338	18.56717078
0.339	18.1874834
0.340	17.80492214
0.341	17.41955077
0.342	17.03143382
0.343	16.6406366
0.344	16.24722515
0.345	15.85126623
0.346	15.45282735
0.347	15.05197669
0.348	14.64878314
0.349	14.24331627
0.350	13.8356463
0.351	13.42584409
0.352	13.01398115
0.353	12.60012959
0.354	12.18436214
0.355	11.7667521
0.356	11.34737333
0.357	10.92630027
0.358	10.50360787
0.359	10.07937163
0.360	9.653667527
0.361	9.226572037
0.362	8.798162105
0.363	8.368515131
0.364	7.937708945
0.365	7.505821802
0.366	7.07293235
0.367	6.639119625
0.368	6.204463025
0.369	5.769042293
0.370	5.332937502
0.371	4.896229031
0.372	4.458997552
0.373	4.021324008
0.374	3.583289593
0.375	3.144975737
0.376	2.706464081
0.377	2.267836463
0.378	1.829174895
0.379	1.390561546
0.380	0.95207872
0.381	0.513808838
0.382	0.075834415
0.383	-0.361761957
0.384	-0.798897628
0.385	-1.235489916
0.386	-1.67145612
0.387	-2.106713547
0.388	-2.541179528
0.389	-2.97477144
0.390	-3.407406727
0.391	-3.839002921
0.392	-4.269477661
0.393	-4.698748716
0.394	-5.126734002
0.395	-5.553351609
0.396	-5.978519816
0.397	-6.402157115
0.398	-6.82418223
0.399	-7.244514142
0.400	-7.663072104
0.401	-8.079775666
0.402	-8.494544696
0.403	-8.907299399
0.404	-9.317960338
0.405	-9.726448457
0.406	-10.1326851
0.407	-10.53659203
0.408	-10.93809147
0.409	-11.33710607
0.410	-11.73355899
0.411	-12.1273739
0.412	-12.51847497
0.413	-12.90678694
0.414	-13.29223511
0.415	-13.67474535
0.416	-14.05424415
0.417	-14.43065864
0.418	-14.80391656
0.419	-15.17394637
0.420	-15.54067716
0.421	-15.90403877
0.422	-16.26396175
0.423	-16.62037739
0.424	-16.97321775
0.425	-17.32241569
0.426	-17.66790485
0.427	-18.0096197
0.428	-18.34749557
0.429	-18.68146862
0.430	-19.01147591
0.431	-19.3374554
0.432	-19.65934594
0.433	-19.97708734
0.434	-20.29062036
0.435	-20.59988669
0.436	-20.90482907
0.437	-21.20539118
0.438	-21.50151776
0.439	-21.79315457
0.440	-22.08024844
0.441	-22.36274724
0.442	-22.64059995
0.443	-22.91375664
0.444	-23.1821685
0.445	-23.44578786
0.446	-23.70456818
0.447	-23.95846408
0.448	-24.20743139
0.449	-24.45142709
0.450	-24.69040937
0.451	-24.92433767
0.452	-25.15317263
0.453	-25.37687613
0.454	-25.59541133
0.455	-25.80874265
0.456	-26.01683579
0.457	-26.21965773
0.458	-26.41717678
0.459	-26.60936254
0.460	-26.79618595
0.461	-26.97761929
0.462	-27.15363618
0.463	-27.32421159
0.464	-27.48932188
0.465	-27.64894475
0.466	-27.8030593
0.467	-27.95164604
0.468	-28.09468686
0.469	-28.23216505
0.470	-28.36406534
0.471	-28.49037386
0.472	-28.61107817
0.473	-28.72616728
0.474	-28.83563162
0.475	-28.93946307
0.476	-29.03765498
0.477	-29.13020213
0.478	-29.21710076
0.479	-29.29834858
0.480	-29.37394477
0.481	-29.44388996
0.482	-29.50818628
0.483	-29.5668373
0.484	-29.61984809
0.485	-29.66722517
0.486	-29.70897656
0.487	-29.74511175
0.488	-29.77564169
0.489	-29.80057884
0.490	-29.81993709
0.491	-29.83373185
0.492	-29.84197996
0.493	-29.84469976
0.494	-29.84191105
0.495	-29.83363508
0.496	-29.81989456
0.497	-29.80071368
0.498	-29.77611807
0.499	-29.74613479
0.500	-29.71079236
0.501	-29.67012073
0.502	-29.62415127
0.503	-29.5729168
0.504	-29.51645153
0.505	-29.45479108
0.506	-29.38797248
0.507	-29.31603415
0.508	-29.23901589
0.509	-29.15695886
0.510	-29.06990562
0.511	-28.97790004
0.512	-28.88098736
0.513	-28.77921416
0.514	-28.67262831
0.515	-28.56127901
0.516	-28.44521675
0.517	-28.32449331
0.518	-28.19916172
0.519	-28.0692763
0.520	-27.93489259
0.521	-27.79606735
0.522	-27.65285859
0.523	-27.50532547
0.524	-27.35352836
0.525	-27.19752881
0.526	-27.03738949
0.527	-26.87317421
0.528	-26.70494792
0.529	-26.53277663
0.530	-26.35672747
0.531	-26.17686859
0.532	-25.99326922
0.533	-25.8059996
0.534	-25.61513096
0.535	-25.42073553
0.536	-25.2228865
0.537	-25.02165801
0.538	-24.81712511
0.539	-24.60936376
0.540	-24.39845079
0.541	-24.1844639
0.542	-23.96748162
0.543	-23.74758328
0.544	-23.52484901
0.545	-23.29935972
0.546	-23.07119703
0.547	-22.84044331
0.548	-22.60718161
0.549	-22.37149564
0.550	-22.13346978
0.551	-21.89318901
0.552	-21.65073892
0.553	-21.40620564
0.554	-21.15967588
0.555	-20.91123685
0.556	-20.66097625
0.557	-20.40898225
0.558	-20.15534345
0.559	-19.90014887
0.560	-19.64348791
0.561	-19.38545033
0.562	-19.12612622
0.563	-18.86560596
0.564	-18.60398021
